Ctrl_rep1	Ctrl_rep2	METTL3_KD_rep1	METTL3_KD_rep2
PDPN	1747	1953	1777	1873
TMEM51-AS1	3	1	6	0
C1orf195	0	0	0	1
EFHD2	2957	2846	2669	2798
CTRC	1	0	0	0
CELA2B	8	5	3	4
CASP9	1122	1177	1215	1246
DNAJC16	1201	1236	1810	1755
AGMAT	144	169	100	103
DDI2	1209	1232	713	641
RSC1A1	1126	1231	776	653
SLC25A34	9	8	0	0
TMEM82	0	0	0	0
FBLIM1	591	581	437	523
UQCRHL	1383	1423	821	804
FLJ37453	471	492	176	180
ZBTB17	804	751	482	446
C1orf64	0	0	0	0
HSPB7	1	1	4	3
CLCNKA	0	0	1	0
CLCNKB	8	10	6	11
FAM131C	62	52	131	143
EPHA2	1104	1006	1201	1148
ARHGEF19	129	108	150	149
RSG1	258	262	271	233
SPATA21	0	0	0	1
NECAP2	4463	4580	4779	5036
CROCCP3	50	31	39	26
RNU1-1	0	1	1	9
LOC100132147	5	10	10	15
FAM231B	0	0	0	0
NBPF1	2659	2380	1486	1548
CROCCP2	568	483	310	315
RNU1-3	0	0	0	0
FAM231A	0	0	0	0
ESPNP	0	0	0	0
RNU1-4	0	0	0	1
MST1L	3	4	2	7
MIR3675	0	0	0	0
LOC105376805	6	3	4	4
RNU1-2	0	0	0	0
CROCC	291	275	203	172
MFAP2	243	239	251	300
ATP13A2	3967	4078	2770	2530
PADI2	133	159	341	339
PADI1	3	1	1	1
PADI3	5	5	4	10
MIR3972	0	0	0	0
PADI4	0	1	1	0
PADI6	0	0	0	0
LOC101927876	0	0	0	0
TAS1R2	0	0	1	0
MIR4695	0	0	0	0
MIR1290	1	0	0	0
IFFO2	1330	1358	1143	1195
LOC101927895	19	20	14	9
EMC1	8214	8451	6844	7127
MRTO4	10765	10566	6814	7390
AKR7A3	10	7	4	7
LOC100506730	173	147	79	88
AKR7A2	4562	4966	2042	2091
PQLC2	1236	1244	1137	1130
LOC105378614	0	0	0	1
MINOS1	4673	4825	3899	4203
MINOS1-NBL1	0	0	0	0
RPS14P3	34	32	31	20
NBL1	1	2	0	2
HTR6	112	139	302	278
RNF186	0	0	0	0
OTUD3	2318	2235	1383	1412
PLA2G2A	0	0	0	0
PLA2G5	0	0	0	0
PLA2G2D	0	1	0	0
PLA2G2F	0	0	0	0
PLA2G2C	0	0	0	0
UBXN10	0	0	0	0
LINC01141	0	0	0	1
CAMK2N1	550	486	406	411
MUL1	3425	3635	3614	3701
FAM43B	41	46	49	43
CDA	28	36	60	55
PINK1	1520	1568	1516	1502
MIR6084	0	0	0	0
PINK1-AS	279	286	202	206
DDOST	24616	27016	17359	17648
SH2D5	589	571	285	306
HP1BP3	7183	6331	6550	7041
MIR1256	0	0	0	0
LOC100506801	1	0	3	1
NBPF3	1717	1646	1114	1096
ALPL	195	183	191	178
LDLRAD2	1	1	4	2
CELA3B	0	0	0	2
CELA3A	0	0	2	1
LOC101928043	23	8	27	21
LINC00339	806	858	687	757
CDC42	24370	25485	21355	22240
WNT4	13	12	26	21
MIR4418	0	0	0	0
ZBTB40	1812	1623	2121	2250
EPHA8	300	290	303	277
MIR6127	0	0	0	0
C1QA	0	0	0	0
C1QC	0	0	0	0
C1QB	0	0	0	0
MIR4684	0	0	0	0
MIR4253	0	0	0	0
LACTBL1	0	0	0	0
C1orf234	8	6	6	9
MIR3115	0	0	0	0
MIR4419A	0	1	0	0
LUZP1	4684	4850	4223	4326
HTR1D	71	69	84	72
LINC01355	22	8	9	5
ZNF436	845	920	957	954
ZNF436-AS1	37	42	44	33
TCEA3	5	9	13	13
E2F2	2471	2398	1766	1802
LOC101928163	2	1	0	0
ID3	3113	3197	1728	1699
MDS2	0	0	0	0
RPL11	78079	83035	56654	62700
TCEB3	8289	8193	4524	4774
TCEB3-AS1	77	104	92	97
PITHD1	4174	4371	3285	3423
LYPLA2	4807	5129	3751	3949
GALE	1397	1474	1279	1298
HMGCL	1436	1481	1682	1698
CNR2	0	1	2	0
MIR378F	0	0	0	0
PNRC2	7036	7258	4741	5239
SRSF10	17130	16761	10615	11124
MYOM3	2	0	1	1
IL22RA1	0	1	1	4
IFNLR1	840	834	811	843
LOC284632	0	0	0	0
GRHL3	62	44	303	313
NIPAL3	3210	3344	3878	3993
RCAN3AS	6	3	11	6
LOC100506985	133	109	90	119
NCMAP	1	0	1	3
SRRM1	11630	9724	8196	8517
MIR6731	0	0	0	0
MIR4425	0	0	0	0
SYF2	1976	1951	1640	1748
TMEM50A	9364	9949	8621	8940
RHCE	17	21	63	63
TMEM57	2295	2315	2185	2221
SEPN1	10054	10310	10220	10110
AUNIP	1753	1689	717	779
PAQR7	362	395	346	360
STMN1	24588	25225	23612	26184
MIR3917	0	0	0	0
PAFAH2	1532	1713	1349	1462
EXTL1	34	29	18	26
SLC30A2	10	17	36	40
TRIM63	0	0	3	2
PDIK1L	1985	1959	2051	2210
FAM110D	7	4	1	5
ZNF593	1655	1624	1505	1383
CNKSR1	71	57	8	10
CATSPER4	0	1	3	2
LOC101928303	1	0	0	0
CEP85	4515	4342	4465	4712
SH3BGRL3	2364	2426	3356	3534
UBXN11	1031	1020	885	906
CD52	1	1	2	0
ZNF683	0	0	0	0
LIN28A	0	1	0	0
DHDDS	2103	2147	1585	1624
LOC101928324	3	5	3	3
RPS6KA1	4027	4282	3084	3378
MIR1976	0	0	0	0
LOC101928728	27	37	28	31
PIGV	663	732	972	1046
ZDHHC18	4766	5356	4489	4491
SFN	15	11	45	60
GPN2	1401	1343	1124	1150
GPATCH3	1523	1611	1246	1444
NR0B2	2	1	1	1
NUDC	13028	13201	8545	9064
KDF1	15	17	25	30
FAM46B	101	101	121	114
TMEM222	2627	2695	2416	2629
ACTG1P20	125	108	80	70
SYTL1	46	50	52	61
MAP3K6	481	461	124	124
FCN3	4	4	2	6
CD164L2	2	1	3	3
WASF2	9151	9521	8309	8797
AHDC1	601	564	1069	937
FGR	0	0	0	0
IFI6	284	327	537	506
FAM76A	1822	1701	1047	1097
PPP1R8	11439	11090	10162	10757
SCARNA1	16	9	2	4
THEMIS2	499	483	491	505
RPA2	16788	17010	16655	17360
SMPDL3B	1634	1669	1581	1686
XKR8	1872	1949	3182	3337
DNAJC8	26421	26518	21628	23510
ATPIF1	12663	12494	9901	9880
SESN2	7683	8186	7758	7796
MED18	1052	822	929	1051
SNHG3	4747	4480	837	841
RCC1	27210	27631	14734	15697
SNORA73A	150	131	54	32
SNORA73B	167	147	39	28
SNHG12	686	454	286	263
SNORD99	42	38	9	9
SNORA61	144	88	30	51
SNORA44	31	36	12	13
SNORA16A	84	54	21	19
RAB42	1	0	0	0
TAF12	2461	2555	1823	1946
RNU11	7	10	6	5
YTHDF2	14102	14611	6290	6596
TMEM200B	28	14	18	20
SRSF4	16261	16212	11636	12907
PTPRU	4212	4010	2361	2371
LOC101928460	0	1	0	0
MATN1	18	17	14	20
MATN1-AS1	14	9	20	18
LAPTM5	2	4	12	2
MIR4420	0	0	0	0
SDC3	2497	2461	3583	3668
SNORD103A	0	1	0	0
SNORD103B	10	8	3	5
SNORD103C	1	1	0	0
SNRNP40	10751	10798	8140	8496
FABP3	163	176	134	117
SERINC2	1121	1100	886	858
LINC01225	1	0	0	0
LINC01226	0	0	0	0
TINAGL1	0	2	1	1
HCRTR1	3	9	3	0
PEF1	13663	14468	10299	10671
COL16A1	8	1	1	4
ADGRB2	765	649	260	268
MIR4254	5	0	0	2
SPOCD1	38	37	62	54
PTP4A2	25684	26295	21592	22211
KHDRBS1	29133	28286	18867	19696
TMEM39B	2344	2376	499	552
MIR5585	0	0	0	1
TXLNA	14345	14003	11590	12330
CCDC28B	1882	1979	1774	1841
IQCC	1180	1067	701	734
DCDC2B	35	26	33	37
TMEM234	709	708	779	810
EIF3I	48884	52885	31723	34333
MTMR9LP	14	22	12	20
FAM167B	5	3	2	1
LCK	1	0	0	4
HDAC1	29002	29035	23372	24871
MARCKSL1	31741	32318	24722	25136
FAM229A	8	0	4	2
TSSK3	249	182	125	127
ZBTB8B	389	398	478	479
ZBTB8A	792	698	880	826
RBBP4	26087	25492	19425	19645
SYNC	32	30	54	61
YARS	32959	33753	16080	17008
S100PBP	2496	2454	4909	4958
FNDC5	126	100	258	282
HPCA	16	12	13	17
RNF19B	2373	2370	3646	3725
AZIN2	291	339	282	293
A3GALT2	0	2	0	0
PHC2	7572	7776	5380	5741
MIR3605	0	1	0	0
LOC101929464	16	20	20	25
ZSCAN20	361	410	505	581
HMGB4	0	0	0	0
CSMD2-AS1	0	0	0	0
MIR552	0	0	0	0
GJB5	0	0	2	3
GJB4	0	0	0	0
GJB3	0	0	0	0
GJA4	0	0	0	0
SMIM12	3753	3964	2834	3007
DLGAP3	55	42	34	21
LOC653160	17	11	29	29
TMEM35B	578	634	507	512
ZMYM1	2092	1809	1623	1675
SFPQ	47817	47010	25780	27330
NCDN	5078	5066	4868	4951
TFAP2E	9	9	4	3
PSMB2	18154	18548	9158	9548
C1orf216	489	434	390	428
CLSPN	5035	4406	2909	3197
AGO4	1303	1278	645	671
TEKT2	34	34	45	30
ADPRHL2	3105	3259	2287	2454
COL8A2	0	0	3	6
TRAPPC3	4616	4806	4472	4696
THRAP3	17017	16287	11383	12565
EVA1B	110	75	128	120
STK40	5847	6049	4429	4559
LSM10	2640	2727	2323	2421
MRPS15	6733	6603	3204	3408
CSF3R	0	0	1	0
MIR4255	0	0	0	0
LINC01137	35	22	37	41
ZC3H12A	228	262	234	251
MIR6732	0	0	0	0
MEAF6	4394	4308	3678	4011
MIR5581	6	1	2	1
SNIP1	1785	1730	1673	1808
DNALI1	10	6	5	12
GNL2	8342	8104	6051	6635
C1orf109	2126	1922	2314	2456
CDCA8	7359	7442	4192	4446
MANEAL	5465	5557	4238	4302
YRDC	5382	5781	4131	4431
C1orf122	1609	1605	1317	1332
MTF1	1585	1619	2222	2264
SF3A3	17190	17849	11346	12307
FHL3	742	738	630	544
UTP11	5037	4934	3366	3666
POU3F1	95	77	87	73
MIR3659	0	0	0	0
LINC01343	0	0	0	2
RRAGC	3409	3579	2472	2511
MYCBP	3	0	2	1
GJA9-MYCBP	0	1	0	0
LOC105378663	0	0	0	0
GJA9	0	0	0	0
AKIRIN1	7930	7690	5836	6096
NDUFS5	12896	13620	10307	10897
KIAA0754	1279	1135	1481	1278
BMP8A	102	77	68	72
OXCT2P1	3	2	1	1
PPIEL	105	78	82	72
PABPC4	10983	10683	6398	6656
LOC101929516	9	4	6	4
SNORA55	24	20	11	14
HEYL	715	814	1214	1285
NT5C1A	61	69	69	62
HPCAL4	676	740	1079	1189
PPIE	4934	5180	3894	4122
BMP8B	311	300	446	419
OXCT2	22	16	11	9
LOC101929536	4	3	3	5
MYCL	576	665	381	421
MFSD2A	421	403	214	233
CAP1	16936	17243	12806	13485
PPT1	18381	19114	13634	14099
TMCO2	1	1	1	1
ZMPSTE24	10246	10501	8056	8479
COL9A2	95	67	109	130
SMAP2	4528	4632	3113	3311
ZFP69B	203	179	159	146
ZFP69	477	445	436	496
EXO5	316	373	327	343
ZNF684	278	297	316	345
NFYC-AS1	100	79	47	40
MIR30E	0	0	0	0
MIR30C1	0	0	1	0
KCNQ4	228	201	116	148
CITED4	127	97	147	126
CTPS1	18347	19014	9640	10352
SLFNL1	11	8	3	6
FOXO6	108	108	253	218
LOC101929901	0	0	1	0
EDN2	0	2	2	1
GUCA2B	0	0	0	0
GUCA2A	0	1	0	0
RIMKLA	1641	1702	1878	1951
ZMYND12	2	1	2	1
PPIH	5079	5219	3717	4002
YBX1	108803	115235	83133	89849
CLDN19	1	0	1	1
P3H1	3981	4066	1905	2139
C1orf50	611	528	460	429
LOC105378683	19	15	10	11
LOC100129924	7	11	10	17
SVBP	815	791	953	1037
ERMAP	431	471	429	436
ZNF691	836	861	878	928
SLC2A1	4089	4409	2270	2283
SLC2A1-AS1	38	37	36	35
FAM183A	7	11	19	11
EBNA1BP2	10341	10699	5535	6042
MIR6733	0	0	0	0
TMEM125	0	0	0	1
C1orf210	1	0	1	0
TIE1	0	1	0	0
MPL	5	10	17	7
CDC20	15287	16181	7723	8375
ELOVL1	3337	3572	3091	3154
MIR6734	0	0	0	0
SZT2	1211	1042	691	666
MIR6735	0	0	0	0
HYI	0	0	0	0
PTPRF	11477	11915	4666	4830
KDM4A	6447	6509	3499	3825
KDM4A-AS1	79	69	81	77
LOC101929592	3	5	0	1
MIR6079	0	0	0	0
ARTN	18	9	15	8
IPO13	4036	4134	2151	2333
DPH2	7541	8012	4691	4899
ATP6V0B	12957	13404	10025	10068
B4GALT2	5496	5769	5357	5375
CCDC24	128	132	185	192
SLC6A9	787	762	453	485
KLF17	0	0	0	0
DMAP1	1747	1665	1141	1237
ERI3-IT1	11	18	15	13
SNORA110	0	0	0	0
MIR5584	0	0	0	0
TMEM53	250	265	252	272
RNU5F-1	1	1	0	2
RNU5D-1	1	0	3	0
KIF2C	7171	7374	3607	4078
RPS8	124013	126519	62386	65176
SNORD55	27	23	13	9
SNORD46	39	37	15	20
SNORD38A	33	25	18	20
SNORD38B	34	33	14	18
BEST4	9	4	3	5
PLK3	129	75	143	130
TCTEX1D4	0	0	0	0
BTBD19	0	0	2	3
HECTD3	3576	3749	786	884
UROD	7157	7614	3706	3946
LINC01144	47	42	22	19
HPDL	7	0	9	14
MUTYH	523	483	263	318
TOE1	2282	2402	1272	1262
CCDC163P	390	371	316	337
MMACHC	1691	1542	1675	1824
PRDX1	57765	60668	41721	45635
AKR1A1	3666	3824	1383	1591
CCDC17	18	8	2	3
GPBP1L1	7437	7438	5420	5680
RPS15AP10	2	0	0	0
TMEM69	2038	2153	2488	2697
TSPAN1	0	0	1	1
POMGNT1	3745	4075	2516	2493
LURAP1	61	52	88	80
LRRC41	5655	5662	4435	4436
UQCRH	21116	23094	12683	13457
NSUN4	2585	2596	2379	2404
FAAHP1	74	70	46	47
LINC01398	13	6	3	6
DMBX1	272	311	289	308
MKNK1-AS1	7	6	3	4
KNCN	0	0	0	0
MKNK1	2114	2201	1879	1897
MOB3C	119	114	164	140
TEX38	1	1	1	0
EFCAB14-AS1	2	0	1	2
EFCAB14	4665	5040	4352	4368
CYP4B1	0	0	0	0
CYP4Z2P	0	0	0	0
CYP4A11	0	0	0	0
CYP4X1	22	19	10	10
CYP4Z1	1	0	0	0
CYP4A22	0	0	0	0
LINC00853	19	13	23	23
TAL1	68	47	80	90
STIL	2979	2898	3387	3442
CMPK1	10167	10496	9111	9607
LINC01389	16	8	44	51
FOXE3	2	0	4	3
FOXD2-AS1	336	332	150	145
FOXD2	331	305	234	228
LOC101929721	0	0	0	0
DMRTA2	48	50	58	58
CDKN2C	3153	3112	3192	3379
MIR4421	0	0	0	0
MIR6500	0	0	0	1
TTC39A	553	555	526	603
TTC39A-AS1	5	3	3	1
NRDC	13064	13127	11682	12125
MIR761	0	0	0	0
RAB3B	545	522	1183	1109
KTI12	0	0	0	0
TXNDC12-AS1	2	0	1	1
BTF3L4	7602	7810	7913	8058
CC2D1B	3392	3229	2437	2743
ORC1	4549	4665	3766	4046
PRPF38A	9160	9143	5788	6204
GPX7	1	0	1	0
FAM159A	0	0	1	0
ZYG11A	632	535	398	391
ECHDC2	75	53	27	25
MIR1273F	0	0	0	0
MIR5095	0	0	0	0
MIR1273G	1	0	0	0
SLC1A7	0	0	2	0
CPT2	3845	3830	5312	5510
MAGOH	4565	4914	3069	3692
LOC100507564	42	45	85	118
LRP8	1180	1162	1094	1172
LOC105378732	3	1	11	9
SLC25A3P1	0	0	0	0
DMRTB1	0	0	0	0
NDC1	15212	15696	11817	11710
DIO1	5	1	3	3
HSPB11	1652	1662	1787	1834
LRRC42	3175	3003	3011	3199
LDLRAD1	0	0	0	0
TMEM59	8089	8288	5481	5672
TCEANC2	3059	3069	2452	2580
MIR4781	0	0	1	0
CDCP2	6	0	3	9
CYB5RL	2450	2662	2191	2182
MRPL37	23754	24538	22020	23985
SSBP3-AS1	13	4	10	9
ACOT11	66	66	50	60
FAM151A	1	2	1	8
TTC4	429	517	396	463
PARS2	1169	1263	1717	1855
LEXM	0	0	0	0
DHCR24	26183	28493	20535	21292
TMEM61	0	0	4	1
BSND	0	2	1	0
LOC100507634	159	150	65	55
MIR4422	0	0	0	0
PLPP3	1108	1162	239	243
LOC101929935	1	0	0	0
PRKAA2	4698	4593	1481	1426
C8B	0	0	0	0
DAB1-AS1	0	0	0	0
OMA1	3090	3143	2222	2301
TACSTD2	0	0	0	0
MYSM1	3003	2422	1952	1921
JUN	6128	5833	1713	1525
LINC01358	0	0	0	0
HSD52	0	0	0	0
MIR4711	0	0	0	0
LOC101926944	0	0	0	1
HOOK1	5562	5287	4961	5207
NFIA-AS1	0	0	1	0
MGC34796	0	0	0	0
TM2D1	1709	1667	976	1037
MIR3116-1	0	0	0	0
MIR3116-2	0	0	0	0
L1TD1	0	0	0	0
USP1	16191	15529	13447	14403
ANGPTL3	3	2	1	6
ATG4C	3232	3196	3120	3447
FOXD3-AS1	261	228	253	233
FOXD3	187	168	162	147
MIR6068	0	0	0	0
ALG6	4208	4398	2908	2968
ITGB3BP	4169	4332	3349	3321
DLEU2L	20	15	11	13
PGM1	9108	9382	9164	9839
ROR1-AS1	0	0	0	0
MIR4794	0	0	0	0
LINC01359	3	4	2	0
MIR3671	2	1	0	0
MIR101-1	0	0	0	0
AK4	6481	6766	6669	6933
LEPROT	4096	4303	1320	1314
LOC101927139	0	0	0	0
MIR3117	0	0	0	0
TCTEX1D1	0	0	0	0
INSL5	0	0	0	0
SLC35D1	3407	3506	2670	2550
SERBP1	83788	83317	75948	80449
GADD45A	855	870	1501	1558
DIRAS3	40	31	13	15
MIR1262	0	0	0	0
RPE65	0	0	0	0
DEPDC1	11645	11567	7870	8112
DEPDC1-AS1	23	22	29	31
PIN1P1	0	0	0	0
LRRC40	5595	5192	5682	6198
SRSF11	15210	14047	6937	7175
ANKRD13C	4780	4845	3326	3412
HHLA3	1032	1055	1203	1253
CTH	1683	1684	937	1041
ZRANB2-AS1	57	46	23	30
ZRANB2	11226	11124	6106	6747
MIR186	23	10	8	7
LINC01360	0	0	0	0
FPGT	2274	2193	2533	2717
TYW3	3585	3614	2721	2998
LHX8	183	188	240	232
DLSTP1	191	180	113	91
RABGGTB	8073	8060	3950	4461
SNORD45C	31	26	11	2
SNORD45A	52	54	18	11
SNORD45B	60	44	14	14
ASB17	0	0	0	0
LOC101927342	0	0	0	0
MIR7156	0	0	0	0
NEXN-AS1	13	7	18	17
NEXN	398	339	469	554
FUBP1	16344	15938	3349	3532
IFI44	0	0	0	0
LINC01361	7	2	3	3
LOC101927560	3	2	0	0
SAMD13	126	105	172	159
UOX	1	3	3	1
RPF1	6254	6247	5451	5842
GNG5	4523	4389	4418	4153
CTBS	601	599	1078	1065
LINC01461	32	22	34	25
LINC01555	2	1	0	0
LPAR3	801	901	474	523
MCOLN3	658	583	511	543
MIR4423	1	0	0	1
C1orf52	3698	3580	3240	3515
BCL10	957	900	1336	1332
LOC646626	2	12	5	3
CYR61	754	791	470	476
ZNHIT6	4960	4928	3825	3978
MIR7856	1	0	1	1
CLCA2	2	0	34	41
CLCA1	0	0	0	1
CLCA4	0	0	1	0
SH3GLB1	6815	6593	5609	5789
LOC101927844	0	0	0	0
LMO4	3441	3405	2943	3009
LINC01364	0	1	0	0
KYAT3	2653	2633	2397	2559
RBMXL1	2517	2490	2084	2093
GBP3	1	0	3	4
GBP1	4	5	6	5
GBP2	5	5	1	3
GBP7	0	1	0	0
GBP4	0	0	0	0
LOC729930	1	0	0	0
GBP6	0	0	2	1
GBP1P1	32	34	31	28
LRRC8B	2900	2848	1120	1050
FLJ27354	19	29	22	19
GEMIN8P4	247	228	204	185
ZNF326	5678	5202	4250	4548
BARHL2	273	306	246	224
CDC7	8584	8167	9541	9764
EPHX4	223	233	264	223
SETSIP	11	3	14	4
KIAA1107	94	87	133	143
C1orf146	1	1	5	3
RPAP2	2625	2621	2732	2900
GFI1	884	858	762	784
RPL5	150160	151417	70112	73979
SNORD21	16	10	7	6
SNORA66	28	24	12	10
MTF2	4761	4678	6212	6394
TMED5	12727	13077	8776	8846
DR1	9265	9218	2223	2478
LOC100129046	0	2	1	4
MIR760	0	1	0	2
DNTTIP2	8377	8200	6593	7362
GCLM	3009	2939	1640	1696
ARHGAP29	1922	1933	2406	2374
F3	140	145	117	110
MIR378G	0	0	0	0
SLC44A3	209	189	251	209
CNN3	8982	8845	4554	4961
LOC729970	100	103	56	50
LOC101928098	0	0	0	0
LOC101928118	0	3	6	8
RWDD3	464	388	380	406
LOC100996630	0	0	0	0
FLJ31662	0	0	0	0
LOC100996635	0	0	0	0
LOC102723661	0	0	0	0
DPYD-AS2	0	0	0	0
MIR2682	0	0	0	0
MIR137	0	0	0	0
LOC729987	0	0	0	0
PLPPR4	111	90	221	224
PALMD	17	6	15	15
MFSD14A	5785	6017	2576	2756
SASS6	2993	2750	2196	2498
LRRC39	46	43	15	18
DBT	2032	1850	2303	2370
RTCA-AS1	73	77	36	44
MIR553	1	1	0	0
GPR88	7	10	13	9
LINC01349	0	0	0	0
VCAM1	0	0	0	0
EXTL2	1638	1728	1926	1976
DPH5	4467	4572	3635	3785
LOC101928370	10	8	9	11
S1PR1	141	137	230	221
LINC01307	0	0	0	0
DNAJA1P5	0	0	0	0
LOC101928436	4	5	2	2
AMY2B	34	21	16	17
ACTG1P4	1	1	0	0
AMY2A	0	0	0	0
AMY1A	0	0	0	0
AMY1B	0	0	0	0
AMY1C	0	0	0	0
LOC100129138	1	0	1	1
LOC101928476	0	0	0	0
PRMT6	5864	6040	4097	4029
MIR7852	0	0	0	0
VAV3-AS1	0	0	0	0
SLC25A24	5778	5944	5747	5845
NBPF4	0	0	0	0
NBPF6	0	0	0	0
FAM102B	2142	1834	2021	1998
PRPF38B	7039	6696	4240	4522
FNDC7	2	3	1	1
AKNAD1	0	0	1	0
SPATA42	0	0	0	0
CLCC1	3798	3784	2028	2115
WDR47	1204	1253	1814	1830
TAF13	875	747	268	306
TMEM167B	1926	1987	2019	2034
SCARNA2	3	0	1	1
C1orf194	4	2	2	2
SARS	20657	21057	16608	18107
CELSR2	3213	3199	2398	2294
PSRC1	2801	2861	1786	1893
MYBPHL	2	4	74	68
PSMA5	13165	13912	9869	10151
SYPL2	1323	1404	674	723
ATXN7L2	688	673	695	678
CYB561D1	1191	1343	673	686
AMIGO1	409	421	461	428
GPR61	4	3	1	1
MIR197	2	2	3	1
GNAT2	37	41	37	33
AMPD2	4201	4225	2276	2268
GSTM4	303	310	342	396
GSTM2	2040	2035	1963	1948
GSTM1	0	0	0	0
GSTM5	2	0	1	1
GSTM3	4577	4935	3400	3578
EPS8L3	0	0	0	0
CSF1	455	451	546	616
AHCYL1	10191	10448	5993	6148
STRIP1	3857	3830	981	1087
ALX3	313	302	86	115
UBL4B	0	3	2	0
SLC6A17	120	133	165	173
KCNC4-AS1	8	12	22	12
LOC440600	188	204	110	142
RBM15	2041	2121	1848	1826
SLC16A4	90	76	158	139
LAMTOR5	5149	5191	4252	4367
LAMTOR5-AS1	32	31	37	23
PROK1	6	2	5	3
CYMP	0	0	0	0
LOC440602	0	0	0	0
KCNA10	0	0	0	0
KCNA3	45	43	37	36
LRIF1	1532	1418	1684	1784
DRAM2	2245	2381	1077	1168
DENND2D	4	8	3	2
CHI3L2	1	2	2	0
CHIAP2	0	0	0	0
CHIA	0	0	0	0
PIFO	49	48	60	45
PGCP1	0	0	0	0
OVGP1	68	60	69	61
WDR77	21634	22431	9921	10443
ATP5F1	27203	28280	19536	20654
C1orf162	14	9	3	1
ADORA3	1	0	1	0
LINC01160	6	3	9	4
FAM212B	414	461	591	643
FAM212B-AS1	12	19	34	34
LOC101928718	0	3	1	0
DDX20	4583	4576	4625	4819
KCND3-IT1	0	0	0	0
KCND3-AS1	0	0	0	0
LOC643355	0	0	0	0
MIR4256	0	0	2	0
WNT2B	71	65	166	197
CAPZA1	19071	19007	11979	12572
MOV10	3348	3255	2324	2384
RHOC	4020	4326	3555	3760
PPM1J	163	185	170	223
LINC01356	8	8	13	13
SLC16A1	27094	27669	26827	27373
AKR7A2P1	12	2	2	6
SLC16A1-AS1	233	213	121	127
LOC100996251	11	6	5	7
LOC643441	0	0	0	0
PHTF1	2213	2275	2287	2240
AP4B1-AS1	21	7	4	6
PTPN22	0	1	2	0
BCL2L15	13	8	6	6
DCLRE1B	3698	3747	3307	3414
HIPK1-AS1	15	16	36	26
HIPK1	8503	8457	2446	2511
OLFML3	5	1	0	3
SYT6	71	70	51	47
BCAS2	6811	6719	6077	6268
DENND2C	596	584	763	779
NRAS	13901	14159	11453	11785
CSDE1	71902	73100	19472	20509
SIKE1	7380	7043	4069	4165
TSHB	0	0	0	0
NGF	6	5	9	5
VANGL1	3754	4099	3772	3901
NHLH2	39	33	45	49
LOC101928995	1	0	0	1
LOC101928977	0	0	0	0
ATP1A1-AS1	145	156	195	214
LOC101929023	1	0	0	0
MIR548AC	0	0	0	0
MIR320B1	0	0	0	0
C1orf137	0	0	0	0
CD2	0	0	0	0
CD101	112	105	31	35
TTF2	6624	6224	5378	5625
MIR942	1	1	0	0
TRIM45	571	538	654	602
LOC100996263	0	0	0	0
FAM46C	476	467	438	415
GDAP2	1548	1602	1424	1391
WDR3	15570	16189	10291	10919
TBX15	17	12	13	6
LOC105378933	0	0	0	0
WARS2	2499	2563	2822	2846
WARS2-IT1	0	0	0	0
HAO2	1	1	1	0
HAO2-IT1	0	0	0	0
HSD3B2	0	0	0	0
HSD3B1	0	0	0	0
HSD3BP4	0	0	1	1
LINC00622	4	7	1	4
ZNF697	1120	1103	1351	1345
PHGDH	28246	28952	17907	18934
HMGCS2	0	1	0	0
NBPF7	0	1	0	0
ADAM30	0	0	0	0
SEC22B	4353	4760	4375	4513
PFN1P2	5	4	2	1
RNVU1-19	0	0	0	0
PPIAL4A	1	1	3	0
LINC00623	197	219	275	307
RNVU1-4	10	3	8	13
LOC101929798	2	0	0	0
FCGR1B	0	1	1	0
FAM72B	1168	1204	725	818
EMBP1	55	69	33	33
RNVU1-17	0	0	0	0
RNVU1-18	0	2	0	0
LOC388692	0	0	0	0
FCGR1CP	0	0	0	0
FAM72C	206	201	127	135
LOC101060524	0	0	0	0
PPIAL4E	0	0	0	0
RNVU1-15	9	13	17	18
PPIAL4F	0	0	1	0
LOC101927429	1	1	0	1
DRD5P2	0	0	0	0
LOC645166	194	219	215	256
LOC103091866	80	75	35	27
PPIAL4D	0	0	0	0
RNVU1-14	7	9	9	9
NBPF25P	120	98	71	65
PDZK1	22	12	4	9
CD160	13	11	9	9
POLR3C	4279	4371	2889	3093
NUDT17	185	174	267	260
PIAS3	3088	2961	2370	2287
MIR6736	0	0	1	0
ITGA10	20	15	8	6
PEX11B	1576	1632	2100	2357
GNRHR2	57	51	39	41
RBM8A	18853	19168	13191	14503
LIX1L	3618	3342	4043	4128
ANKRD34A	315	283	279	309
POLR3GL	1501	1450	1575	1604
TXNIP	2193	2312	1822	1973
HFE2	0	1	0	0
RNVU1-6	6	5	4	6
LOC101928979	141	188	161	153
NBPF10	86	51	38	37
NOTCH2NL	239	263	152	170
NUDT4P2	1	0	0	0
CH17-408M7.1	0	0	0	1
NBPF12	405	296	176	170
LOC728989	1	2	3	0
RNVU1-8	1	0	0	1
NBPF13P	1	0	0	1
PRKAB2	2361	2349	2056	2051
PDIA3P1	71	51	45	34
CHD1L	7291	7219	6458	6925
ACP6	1901	1878	997	978
GJA5	5	4	2	2
GJA8	1	1	1	1
PDZK1P1	10	5	3	6
RNVU1-7	1	5	1	1
LOC100505824	0	0	0	0
MIR5087	2	1	2	1
RNVU1-1	2	0	0	1
MIR6077	0	1	0	0
LOC100132057	32	24	25	29
